feature,mean_abs_shap,rank
G3DSA.2.60.34.10,0.0,182
G3DSA.2.60.110.10,0.0,183
G3DSA.1.20.272.60,0.0,184
G3DSA.1.10.1520.10,0.0,185
G3DSA.3.90.550.20,0.0,186
G3DSA.2.70.40.10,0.0,187
G3DSA.3.90.70.150,0.0,188
G3DSA.1.20.1440.190,0.0,189
G3DSA.2.40.70.10,0.0,190
PF03216,0.0,191
PF06380,0.0,192
PF05413,0.0,193
PF02495,0.0,194
PF01693,0.0,195
PF02407,0.0,196
PF03225,0.0,197
PF06837,0.0,198
PF07325,0.0,199
PF12523,0.0,200
PF07436,0.0,201
SSF49818,0.0,202
PF17464,0.0,203
SSF54423,0.0,204
SSF54001,0.0,205
SSF56831,0.0,206
SSF69065,0.0,207
